domain,scenario,seed,element_id,gt_fault,gt_self_clearing,lead_gain_min,t_first_correct_verdict,time_to_correct_diagnosis_min,degraded_minutes,down_minutes,n_ambiguous_decisions,n_wait_decisions,conv_escalated,layer_escalated,conv_unnecessary_dispatch,layer_unnecessary_dispatch,t_fault_onset,t_first_detectable,t_decision_layer_actionable,t_conventional_escalation,t_ticket,t_service_impact,t_outage,t_recovery,t_environment_cleared,false_calm_window_min,pre_escalation_window_min,exposure_window_min,decision_margin_min,conventional_margin_min,time_to_diagnosis_min,detect_tp,detect_fp,detect_fn,detect_tn,detect_precision,detect_recall,detect_f1,detect_fpr,detect_fnr,layer_esc_tp,layer_esc_fp,layer_esc_fn,layer_esc_tn,layer_esc_precision,layer_esc_recall,layer_esc_f1,layer_esc_fpr,layer_esc_fnr,conv_esc_tp,conv_esc_fp,conv_esc_fn,conv_esc_tn,conv_esc_precision,conv_esc_recall,conv_esc_f1,conv_esc_fpr,conv_esc_fnr,provenance,exposure_conventional,exposure_decision_layer,exposure_delta,exposure_delta_pct,decision_layer_dispatched_unnecessarily,conventional_dispatched_unnecessarily,sweep_axis,param_label,smoothing_window,persistence_m,persistence_n,escalation_delay_min,warmup_variant
microwave,mw_directional_hardware,12,POP~R_D05_1,hardware_directional,False,3.0,236.0,11.0,326.0,0.0,11,0,True,True,False,False,170.0,225.0,236.0,239.0,245.0,268.0,,,,14.0,3.0,43.0,32.0,29.0,11.0,376,0,54,171,1.0,0.8744186046511628,0.9330024813895782,0.0,0.12558139534883722,365,0,65,171,1.0,0.8488372093023255,0.9182389937106918,0.0,0.1511627906976744,362,0,68,171,1.0,0.8418604651162791,0.9141414141414141,0.0,0.15813953488372093,ILLUSTRATIVE - not derived from operator financial data,2360.4,2360.08,0.32,0.0,False,False,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_directional_hardware,13,POP~R_D05_1,hardware_directional,False,3.0,236.0,11.0,320.0,0.0,11,0,True,True,False,False,170.0,225.0,236.0,239.0,245.0,279.0,,,,14.0,3.0,54.0,43.0,40.0,11.0,376,0,54,171,1.0,0.8744186046511628,0.9330024813895782,0.0,0.12558139534883722,365,0,65,171,1.0,0.8488372093023255,0.9182389937106918,0.0,0.1511627906976744,362,0,68,171,1.0,0.8418604651162791,0.9141414141414141,0.0,0.15813953488372093,ILLUSTRATIVE - not derived from operator financial data,2358.0,2357.68,0.32,0.0,False,False,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_directional_hardware,14,POP~R_D05_1,hardware_directional,False,-3.0,236.0,12.0,325.0,0.0,9,0,True,True,False,False,170.0,224.0,236.0,233.0,239.0,273.0,,,,9.0,-3.0,49.0,37.0,40.0,12.0,374,0,56,171,1.0,0.8697674418604651,0.9303482587064676,0.0,0.13023255813953488,365,0,65,171,1.0,0.8488372093023255,0.9182389937106918,0.0,0.1511627906976744,368,0,62,171,1.0,0.8558139534883721,0.9223057644110275,0.0,0.14418604651162792,ILLUSTRATIVE - not derived from operator financial data,2360.0,2360.0,0.0,0.0,False,False,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_directional_hardware,15,POP~R_D05_1,hardware_directional,False,0.0,235.0,7.0,325.0,0.0,7,0,True,True,False,False,170.0,228.0,235.0,235.0,241.0,276.0,,,,7.0,0.0,48.0,41.0,41.0,7.0,373,0,57,171,1.0,0.8674418604651163,0.9290161892901618,0.0,0.1325581395348837,366,0,64,171,1.0,0.8511627906976744,0.9195979899497487,0.0,0.14883720930232558,366,0,64,171,1.0,0.8511627906976744,0.9195979899497487,0.0,0.14883720930232558,ILLUSTRATIVE - not derived from operator financial data,2360.0,2360.0,0.0,0.0,False,False,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_hidden_in_storm,1,POP~R_D05_1,hardware_directional,False,1.0,192.0,12.0,323.0,0.0,8,12,True,True,False,False,175.0,180.0,180.0,181.0,187.0,203.0,,,,1.0,1.0,23.0,23.0,22.0,0.0,410,0,24,167,1.0,0.9447004608294931,0.9715639810426541,0.0,0.055299539170506916,390,0,35,176,1.0,0.9176470588235294,0.9570552147239264,0.0,0.08235294117647059,420,0,5,176,1.0,0.9882352941176471,0.9940828402366864,0.0,0.011764705882352941,ILLUSTRATIVE - not derived from operator financial data,2359.2,2359.09,0.11,0.0,False,False,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_hidden_in_storm,2,POP~R_D05_1,hardware_directional,False,0.0,181.0,2.0,324.0,0.0,8,2,True,True,False,False,175.0,179.0,179.0,179.0,185.0,277.0,,,,0.0,0.0,98.0,98.0,98.0,0.0,402,0,32,167,1.0,0.9262672811059908,0.9617224880382775,0.0,0.07373271889400922,392,0,33,176,1.0,0.9223529411764706,0.9596083231334149,0.0,0.07764705882352942,422,0,3,176,1.0,0.9929411764705882,0.9964580873671782,0.0,0.007058823529411765,ILLUSTRATIVE - not derived from operator financial data,2359.6,2359.6,0.0,0.0,False,False,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_hidden_in_storm,3,POP~R_D05_1,hardware_directional,False,0.0,190.0,9.0,332.0,0.0,10,17,True,True,False,False,175.0,181.0,181.0,181.0,187.0,202.0,,,,0.0,0.0,21.0,21.0,21.0,0.0,402,0,32,167,1.0,0.9262672811059908,0.9617224880382775,0.0,0.07373271889400922,375,0,50,176,1.0,0.8823529411764706,0.9375,0.0,0.11764705882352941,420,0,5,176,1.0,0.9882352941176471,0.9940828402366864,0.0,0.011764705882352941,ILLUSTRATIVE - not derived from operator financial data,2362.8,2362.8,0.0,0.0,False,False,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_hidden_in_storm,4,POP~R_D05_1,hardware_directional,False,1.0,189.0,10.0,338.0,0.0,9,10,True,True,False,False,175.0,179.0,179.0,180.0,186.0,200.0,,,,1.0,1.0,21.0,21.0,20.0,0.0,406,0,28,167,1.0,0.9354838709677419,0.9666666666666666,0.0,0.06451612903225806,387,0,38,176,1.0,0.9105882352941177,0.9532019704433498,0.0,0.08941176470588236,421,0,4,176,1.0,0.9905882352941177,0.9952718676122931,0.0,0.009411764705882352,ILLUSTRATIVE - not derived from operator financial data,2365.2,2365.09,0.11,0.0,False,False,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_hidden_in_storm,5,POP~R_D05_1,hardware_directional,False,2.0,196.0,15.0,326.0,0.0,7,15,True,True,False,False,175.0,181.0,181.0,183.0,189.0,274.0,,,,2.0,2.0,93.0,93.0,91.0,0.0,405,0,29,167,1.0,0.9331797235023042,0.9654350417163289,0.0,0.06682027649769585,383,0,42,176,1.0,0.9011764705882352,0.948019801980198,0.0,0.0988235294117647,418,0,7,176,1.0,0.9835294117647059,0.9916963226571768,0.0,0.01647058823529412,ILLUSTRATIVE - not derived from operator financial data,2360.4,2360.18,0.22,0.0,False,False,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_hidden_in_storm,6,POP~R_D05_1,hardware_directional,False,0.0,184.0,3.0,327.0,0.0,10,3,True,True,False,False,175.0,181.0,181.0,181.0,187.0,203.0,,,,0.0,0.0,22.0,22.0,22.0,0.0,412,0,22,167,1.0,0.9493087557603687,0.9739952718676123,0.0,0.05069124423963134,399,0,26,176,1.0,0.9388235294117647,0.9684466019417475,0.0,0.0611764705882353,420,0,5,176,1.0,0.9882352941176471,0.9940828402366864,0.0,0.011764705882352941,ILLUSTRATIVE - not derived from operator financial data,2360.8,2360.8,0.0,0.0,False,False,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
